crt_loc_cd,crt_loc_desc,vld_flg
1217J,Juab County Justice,Y
2716J,Salina Justice,Y
5002J,Sanpete Justice,Y
5003J,Summit County Justice,Y
7001J,Tooele Valley Justice,Y
3976J,Washington County Justice,Y
6033J,West Millard Justice,Y
9997O,Us Marshall,Y
9994O,Immigration,Y
9993O,Intransit,Y
9993C,Dixie College,Y
9995C,Citation System,Y
8999J,Slc Justice Or Slco Justice,Y
8888J,Clearfield/Clinton/Riverdale J,Y
8887J,Juab Cnty/Levan/Nephi Justice,Y
8886J,Taylorsville Or Riverton Justi,Y
8885J,Centerville/Fruit Heights Just,Y
